INT	INT	INT	STRING
18	3	17	#Y一键加锁#r#r#W玩家利益至高无上，为了更好的保护玩家利益，方便物品加锁，天龙推出一键全部加锁功能，在小地图的左上角增加一个加锁按钮。轻轻一点，玩家背包中的材料、道具以及身上的装备、骑乘、珍兽都会被加上安全锁，真正万无一失。#r临时解锁后可以进行相应操作，下线后会自动设置为上锁状态；单独解锁可以对已上锁的物品开锁。#r全部加锁后，身上的装备，背包中的物品，银行当中的物品和金钱将会全部被加锁。第一次使用或者取钱时需要输入二级密码。
19	2	3	#Y二级密码加锁设定
20	3	19	#Y二级密码加锁设定#r#r#W二级密码界面要求玩家输入二级密码，同时也将会弹出对话：请输入您加锁的密码。注意：密码最好不要和登录密码相同，不要采用生日和一些简单的数字。另外：请妥善的保管好您的二级密码，忘记二级密码可以申请强制解锁，强制解锁360小时后再申请强制解锁方可取消二级密码。#r玩家输入二级密码的判定使用原有的设定，也就是对两次输入的二级密码进行比对确认等。玩家输入二级密码成功之后对所有身上的装备、物品，仓库当中的金钱、所有物品加锁成功。
21	2	3	#Y防盗号按钮
22	3	21	#Y防盗号按钮#r#r#W安全时间设定：在背包界面的左下角增加了一个防盗号按钮，点击进入后可以设定你自己想要的安全时间。比如设定安全时间为15分钟，则你的这个人物在下次上线15分钟之内，不能进行以下一系列的相关操作。#r1）安全时间内不能和其他玩家进行交易。#r2）安全时间内不能摆摊以及从其他玩家的摊位购买物品。#r3）安全时间内不能向玩家商店添加货物，也不能从玩家商店购买物品。#r4）安全时间内无法兑换元宝票。#r5）安全时间内无法切换自己的PK模式到混战模式。#r6）安全时间内无法对其他人进行宣战。#r7）安全时间内无法使用寄售功能。#r安全时间的长短由玩家自己定义，保护玩家短时间游戏内的利益不受到损失。（特别提醒，请大家第一次不要设置太长时间，按照缺省时间来就好了，以免出现不适应。）
23	2	3	#Y密保卡自动防护
24	3	23	#Y密保卡自动防护#r#r#W密码保护卡是为所有《天龙八部》玩家提供的一种账号安全保护服务。#r密码保护卡随200、600、2000点搜狐一卡通免费赠送给玩家。除具有搜狐一卡通的点卡充值功能外，在背面还有一个被涂层覆盖的7*7数字矩阵。矩阵中的每个空格中都有一个两位数。如此以来，密码保护卡将成为您的随身数字密码库，大大提高您账号的安全。#r您可在游戏点卡零售商，书报亭，软件店等地购买到具有密码保护功能的实物点卡（200、600点和2000点）。带有密码保护功能的密码保护卡与普通搜狐一卡通实体卡建议零售价完全相同。您使用的密码保护功能完全免费。#r如果玩家输入账号和密码正确，但是密保卡输入错误，则账号需要过一分钟后才能进行下次登录，彻底打击了不法盗号者。#r在官方网站可以免费下载到密保卡。
25	2	3	#Y输密码用软键盘
26	3	25	#Y输密码用软键盘#r#r#W为了防止盗号事件的发生，在输入账号密码界面，默认软键盘为开启状态，并且解密和修改密码时必须使用软键盘来进行操作。
27	2	3	#Y电脑绑定
28	3	27	#Y电脑绑定#r#r#W每台电脑都会因为硬件差异有一套完全独立的“密码”。即使配置完全相同的电脑，“密码”也不会相同，电脑绑定正是将电脑的密码与您的游戏账号进行绑定，以达到保护账号安全的目的。绑定后，您的游戏账号将只能从您指定的电脑登录游戏。这样，即使您的游戏账号出现意外，盗号者如果不是在指定的电脑是无法登录的。#r#r您在使用游戏自带的代理服务器功能吗？#r使用游戏自带代理服务器功能的玩家将不能受到绑定电脑IP的保护。
29	2	3	#Y手机绑定
30	3	29	#Y手机绑定#r#r#W第一步：由http：//sde.game.sohu.com进入,#r第二步：登录系统,#r第三步：填写密码保护信息,#r第四步：选择：手机绑定,#r第五步：填写手机号码,#r第六步：发送手机短信#r到此，请耐心等待几分钟。短信平台会自动给你回复短信告知绑定状况。注：每个手机号码最多允许绑定3个不同账号。#r手机与账号解绑：TLJB+账号编码（账号编码为半角的数字：1、2、3。账号编码可以为空。如：TLJB、TLJB1、TLJB12、TLJB123均为合法形式）例如：您的手机只绑定了一个游戏账号，则发送TLJB1或TLJB均可解绑账号。如果绑定了两个账号时，发送TLJB1解绑第一个账号，发送TLJB2则解绑第二个账号，发送TLJB12则全部锁定。或者，您可以直接登录http：//sde.game.sohu.com，进入手机绑定功能区，解绑您的手机。
31	2	4	#Y搜狐通行证如何设置密码
32	3	31	#Y搜狐通行证账号如何设置游戏密码?#r#r#W答：如果您的账号是sohu、17173、ChinaRen、sogou用户，请登录官方网站账号管理中心设置游戏密码，并填充游戏账号相关资料，确保账号安全。
33	2	4	#Y天龙官网修改的是什么密码
34	3	33	#Y天龙官网修改的是什么密码？#r#r#W答：这里修改的是进入游戏时设置的游戏密码。#r如果您使用的是game用户账号，在这里修改的就是您注册账号时填写的游戏密码。#r如果您使用的是搜狐其他用户账号（例如：sohu、17173、ChinaRen、sogou），则在这里的修改的就是您曾经设置过的游戏密码。#r如果您希望修改游戏账号的登录密码，您可以直接到官方网站的账号管理中心的密码修改页面，使用正确的超级密码直接申请修改。#r例如：您在天龙官网SDE系统中注册了一个名为abc＠game.sohu.com的游戏账号，密码为123，则修改的是123这个游戏密码。#r您在sohu.com中注册了一个名为abc＠sohu.com的账号，密码为123，而后您又设置了456为游戏密码，则您修改的是456这个游戏密码。#r如果您需要修改123这个密码，则需要到sohu.com客服中心申请修改。
35	2	4	#Y怎么设置密码保护信息
36	3	35	#Y我以前没有设置过密码保护信息，现在还可以设置吗？#r#r#W答：如果您的账号从来没有设置过密码保护资料，您现在可以先登录账号管理中心，然后点击页面中的申请密码保护一项进行相应的操作。#r温馨提示：密码保护资料一旦设定，将不可自行修改、查看，建议您如实填写并请您一定妥善保管，若由不实填写或个人信息泄露带来的账号纠纷，责任由会员自行承担。
37	2	4	#Y超级密码忘记了，怎样找回
38	3	37	#Y超级密码忘记了，怎样找回？#r#r#W答：http：//passport.game.sohu.com/reg/changepwd.jsp进入密码修改页面。#r第一步：系统会要求您填写账号及注册邮箱。#r第二步：提交成功，我们会给您的注册邮箱中发送一封重设超级密码的确认邮件。#r第三步：请您根据邮件中的提示，点击修改超级密码的链接，并在三天内重新设置超级密码。#r第四步：提交成功，完成超级密码重设，新的超级密码将即时生效。#r#r温馨提示：如果您没有收到邮件，或者超过三天有效期，您可以再次申请发送邮件；有些邮箱地址可能会收不到我们发送的确认邮件，建议您采用搜狐的邮箱或是收费邮箱作为注册邮箱。
39	2	4	#Y忘记了登录密码，怎样找回
40	3	39	#Y我忘记了登录密码，怎样找回？#r#r#W答：http：//sde.game.sohu.com/reg/changepwd.jsp进入游戏密码修改页面。#r第一步：系统会要求您填写密码对应的账号及超级密码。#r第二步：提交填写的信息验证成功后，页面自动转至修改密码页。#r第三步：按页面的要求进行相应的操作。#r第四步：一旦修改成功后，请您用新密码登录。
41	2	4	#Y邮箱过期失效了，怎么修改
42	3	41	#Y注册邮箱过期失效了，是否可以修改，用什么来修改？#r#r#W答：请您登录客服中心→客服处理流程，下截《注册邮箱修改申请表》，填写后连同您的有效证件（身份证、护照、军官证）复印件传真至客服中心，如果不方便使用传真，也可以通过邮件发送客服中心邮箱，或者通过快递发送至官方客服中心。工作人员将在收到表格后的24－48小时内进行处理。
43	2	4	#Y密保资料泄漏，怎么修改
44	3	43	#Y密保资料泄漏，是否可以修改，用什么来修改？#r#r#W答：请您登录客服中心→客服处理流程，下载《密保资料修改申请表》，填写后连同您的有效证件（身份证、护照、军官证）复印件传真至客服中心，如果不方便使用传真，也可以通过邮件发送客服中心邮箱，或者通过快递发送至官方客服中心。工作人员将在收到表格后的24－48小时内进行处理。#r#r温馨提示：修改密保资料，每个账号每年（自然年）只限修改三次，超过三次则不予受理。密码保护资料一旦设定，将不可自行修改、查看，建议您如实填写并请您一定妥善保管，若由不实填写或个人信息泄露带来的账号纠纷，责任由会员自行承担。
45	2	5	#Y什么是网络安全
46	3	45	#Y什么是网络安全？#r#r#W网络安全是指网络系统的硬件、软件及其系统中的数据受到保护，不因偶然的或者恶意的原因而遭到破坏、更改、泄露，系统可以连续可靠正常地运行，网络服务不被中断。
47	2	5	#Y什么是计算机病毒
48	3	47	#Y什么是计算机病毒？#r#r#W计算机病毒（ComputerVirus）是指编制者在计算机程序中插入的破坏计算机功能或者破坏数据，影响计算机使用并且能够自我复制的一组计算机指令或者程序代码。
49	2	5	#Y什么是木马
50	3	49	#Y什么是木马？#r#r#W木马是一种带有恶意性质的远程控制软件。木马一般分为客户端（client）和服务器端（server）。客户端就是本地使用的各种命令的控制台，服务器端则是要给别人运行，只有运行过服务器端的计算机才能够完全受控。木马不会像病毒那样去感染文件。
51	2	5	#Y什么是防火墙
52	3	51	#Y什么是防火墙？它是如何确保网络安全的？#r#r#W使用防火墙（Firewall）是一种确保网络安全的方法。防火墙是指设置在不同网络(如可信任的企业内部网和不可信的公共网)或网络安全域之间的一系列部件的组合。它是不同网络或网络安全域之间信息的唯一出入口，能根据企业的安全政策控制（允许、拒绝、监测）出入网络的信息流，且本身具有较强的抗攻击能力。它是提供信息安全服务，实现网络和信息安全的基础设施。
53	2	5	#Y什么是后门
54	3	53	#Y什么是后门？为什么会存在后门？#W#r#r后门（BackDoor）是指一种绕过安全性控制而获取对程序或系统访问权的方法。在软件的开发阶段，程序员常会在软件内创建后门以便可以修改程序中的缺陷。如果后门被其他人知道，或是在发布软件之前没有删除，那么它就成了安全隐患。
55	2	5	#Y什么叫蠕虫病毒
56	3	55	#Y什么叫蠕虫病毒？#r#r#W蠕虫病毒（Worm）源自第一种在网络上传播的病毒。1988年，22岁的康奈尔大学研究生罗伯特-莫里斯（RobertMorris）通过网络发送了一种专为攻击UNIX系统缺陷、名为蠕虫（Worm）的病毒。蠕虫造成了6000个系统瘫痪，估计损失为200万到6000万美元。由于这只蠕虫的诞生，在网上还专门成立了计算机应急小组（CERT）。现在蠕虫病毒家族已经壮大到成千上万种，并且这千万种蠕虫病毒大都出自黑客之手。
57	2	5	#Y什么是操作系统型病毒
58	3	57	#Y什么是操作系统型病毒？它有什么危害？#r#r#W这种病毒会用它自己的程序加入操作系统或者取代部分操作系统进行工作，具有很强的破坏力，会导致整个系统瘫痪。而且由于感染了操作系统，这种病毒在运行时，会用自己的程序片断取代操作系统的合法程序模块。根据病毒自身的特点和被替代的操作系统中合法程序模块在操作系统中运行的地位与作用，以及病毒取代操作系统的取代方式，对操作系统进行破坏。同时，这种病毒对系统中文件的感染性也很强。
59	2	5	#Y日常防盗攻略
60	3	59	#Y日常防盗攻略#r#r#W注册的时候一定要填写真实的资料，一旦账号发生意外，真实的注册资料可以帮助您用最快的速度重新把您的账号保护起来。#r不要把账号交给别人使用，什么人也不能给。不要随意公开自己的账号、Email地址、QQ号码。#r不定期更改密码。#r使用网吧计算机时，需先按ctrl＋alt＋del三个键，看看是否有来历不明的程序正在运行。如果有，则立即将该程序结束任务。#r网吧上网的用户，最好在上机前使用木马检查工具扫描一下机器，看是否存在木马程序或记录键盘操作的软件，并且把电脑重新启动。#r盗号者通常采取偷看盗取的手段，因此当您输入密码时，一定要环顾四周看看是否有人在窥视您。在网吧玩的朋友一定要注意了，您使用的机器也许被安装了木马程序，因此当您输入ID密码时，建议您使用提供的软键盘输入，或者采用粘贴复制的方法，比如：#W输入密码时，采取乱序输入，譬如密码是daojian2005，可以先输入2005；再用鼠标点指到最前方，再输入daojian。或者假如您的账号是daojian2005，密码是laoda0724,那么您可以先输入账号的两位，然后再输入密码的两位,如：da…la…oj…od…ia…a0…直到全部输入完成。#r请将IE的“INTERNET选项”的“高级”设置为“恢复默认设置”。#r安装使用工具软件，病毒防火墙，杀毒软件是必不可少的，并且注意定时升级病毒库。#r在使用聊天软件时不要随意接受不明程序，如果确实需要，请在立即进行查毒操作。#r不要安装和下载一些来历不明的软件，特别是一些所谓的外挂程序。#r不熟悉的人发来的Email中的附件不要随便打开；#r不熟悉的人用QQ传送来的文件不要随便接收。#r有条件的话经常更新计算机操作系统的各种漏洞补丁和升级补丁。防止木马程序乘虚而入。#r绝对不要使用各种外挂、内挂程序。这些软件都是个人开发，没有任何保障。极有可能内藏木马程序。#r使用完计算机以后，最好是重新启动一次，清空内存中的信息。#r删除含密码信息的存档文件，这些文件是一些记录文件，删除后不会影响系统的其他程序。#W以QQ为例，在使用后会在QQ的目录里留下以QQ号码为名称的文件夹，里面就包含用户的密码。在使用完计算机以后，删除相应的遗留文件，就可以很好地保护ID，但对程序不够了解的人不建议这么做，以免会误删其他的文件。
61	2	5	#Y谨防网络骗术
62	3	61	#Y谨防网络骗术#r#r#W小心骗子用ID[系统公告]或者是GM的名字，打着您中奖了或者免费冲装备等等类似旗号，骗取您的账号，密码。冒充朋友，向用户索要账号、登陆密码等个人信息。#r温馨提示：牢记一点，在线的GM绝对不会随意索取你的账号和密码，特别是密码。无论他花言巧语，只要索要账号密码，必是骗子无疑。#r伪装您身边朋友的名字，一般是您队友的名字。譬如您朋友的名字叫X，那骗子就起了个X ，多一个空格或符号或者用相似的名称来迷惑您。比如：蓝蓝和蓝篮。#r温馨提示：交易前一定要看清对方的人物名称，最好用好友频道或是帮会频道和本人确认一下。#r跟您较熟的人通常会利用您好面子讲义气的心理，跟您称兄道弟，管您借这借那，跟您不熟悉的或者编述一段悲惨的遭遇博得您的同情，或者对您甜言蜜语，总而言之目的都是管您借东西，只要东西一到手，立刻和您再无来往，好像从来就没认识过您这个人。#r温馨提示：人心隔肚皮，如果不是多年的好友，这种冒险的事情还是不要做的好。#r骗子利用玩家愿意用游戏币或装备换点卡的心理来骗人，给您的账号密码经常是已经用过的卡。还会告诉您他是输入错了或者拿错了。总之借口多多，有时候为了骗到钱，还不惜先给您一点好处让您相信呢。#r温馨提示：绝对不要用点卡作为交易的一部分#r天上不会掉馅饼，掉砖头倒是有可能，馅饼没戏，就算掉也不会掉在你头上。如果遇到这类中奖、中大奖、中了超级大奖等等的情况一定要保持头脑清醒，并直接联系客服人员咨询是否确有其事，先万不要随意的登陆对方发来的网址，很可能这个网站就带有木马。#r温馨提示：只要到官方主页上面看看是不是真的有这么一个活动就行了，如果没有这个活动，则必是骗子来骗人。#r在玩网络游戏的过程中难免会和别的玩家进行交易，有的人会先拿出一个好东西打动你的心，但是交易的时候他就会找各种理由取消交易，比如：点错了、你给的钱不对、等我和别人说句话，等到你已经没有耐性的时候就换上另外一个外形一样但是质量差很远的次品，利用你急于交易的心理，只要你没有看清楚，急着点了确定，这个亏就吃定了。#r温馨提示：交易的时候保持平常心，最后确定之前一定要看清楚，如果对方三番五次取消交易，扭头就走，再也不用理他。
63	2	5	#Y密码安全常识
64	3	63	#Y密码安全常识#r#r#W不要使用可轻易获得的关于您的信息作为密码。这包括执照号码、电话号码、身份证号码、工作证号码、生日、您的手机号码、您所居住的街道的名字等等。#r定期更换您的密码，因为8位数以上的字母、数字和其他符号的组合也不是绝对无懈可击的，但更换密码前请确保所使用电脑的安全。#r不要把密码轻易告诉任何人。尽可能避免因为对方是您的网友或现实生活中的朋友而把密码告诉他。#r避免多个资源共用一个密码，一旦你的一个密码泄露，你所有的资源都受到威胁。#r不要让Windows或者IE保存你任何形式的密码,因为*符号掩盖不了真实的密码,而且在这种情况下,Windows都会将密码以弱智的加密算法储存在某个文件里的。#r不要随意放置您的账号密码，注意把账号密码存放在相对安全的位置。密码写在台历上、或者记在钱包上、或者写入PDA都是危险的做法。#r申请密码保护，也就是去设置安全码，安全码不要和密码设置的一样。如果您没有设置安全码，那么别人一旦破解您的密码，就可以把您的密码和注册资料(除证件号码)全部修改。#r不使用简单危险密码，推荐使用的密码设置为8位以上的大小写字母、数字和其他符号的组合。
65	2	5	#Y以下为简单危险密码
66	3	65	#Y以下为简单危险密码#r#r#W密码和用户名相同，如用户名和密码均为test。#r使用8位以下的数字作为密码。数字只有10个，8位数字组成方式只有10的8次方=100，000，000种，按普通计算机每秒搜索3～4万种的速度计算，黑客软件只需要不到3小时就可以破解您的密码了。#r使用5位以下的小写字母加数字作为口令。小写字母加数字一共36位，组合方式只有36的5次方=60466176种可能性，按普通的计算机每秒搜索3～4万种的速度计算，黑客软件只需要25分钟就可以破解您的密码。#r密码为连续或相同的数字，如123、1234、111、1111、0000、123456等。#r使用自己或亲友的生日作为密码。#r使用自己的姓名作为密码。#r使用常用的英文单词作为密码，如software,hello,hongkong等等,最好不用单词做密码,如果要用，可以在后面加复数s,或者符号,这样可以减小被盗号者猜出的机会；用英文单词做密码，用互联网上到处都是的密码破译程序很轻松就可以攻破。#r#r附：一些常用的查毒杀毒、查杀木马的工具，在软件专卖店或者互联网上很容易可以找到，一定要使用正版哦！比如瑞星杀毒软件,NortonAntiVirus,金山毒霸,木马克星,TrojanRemover等。
67	2	6	#Y账号被盗怎么办
68	3	67	#Y账号被盗怎么办？#r#r#W建议您进行以下操作：#r第一步：致电客服中心，向工作人员提供账号注册时填写的相关信息，对账号进行临时停权。#r第二步：更新杀毒软件，全面检查您的电脑安全。#r第三步：确认电脑安全后，登录客服中心重设密码及超级密码。#r第四步：使用密保卡绑定、手机绑定或电脑绑定，增加账号安全系数。
69	2	6	#Y如何找回、修改密码
70	3	69	#Y如何找回、修改密码?#r#r#W进入天龙八部官方网站#r第一步：系统会要求您填写账号及超级密码。#r第二步：按页面的要求进行相应的操作。#r第三步：一旦修改成功后，请您用新密码登陆。
71	2	6	#Y如何重设超级密码
72	3	71	#Y如何重设超级密码?#r#r#W第一步：系统会要求您填写账号及注册邮箱。#r第二步：提交成功，我们会给您的注册邮箱中发送一封重设超级密码的确认邮件。#r第三步：请您根据邮件中的提示，点击修改超级密码的链接，并在三天内重新设置超级密码。#r第四步：提交成功，完成超级密码重设，新的超级密码将即时生效。#r#r#Y温馨提示：如果您没有收到邮件，或者超过三天有效期，您可以再次申请发送邮件；有些邮箱地址可能会收不到我们发送的确认邮件，建议您采用搜狐的邮箱或是收费邮箱作为注册邮箱。
73	2	6	#Y如何修改注册邮箱（人工）
74	3	73	#Y如何修改注册邮箱（人工）?#r#r#W下载《注册邮箱修改申请表》。#r第一步：详细填写表格内容。#r第二步：将表格连同清晰有效的证件复印件（身份证，护照，军官证）发送至客服中心。#r第三步：工作人员收到表格后核实相关信息。#r第四步：核实资料无误（密码保护资料信息必须与申请人的有效证件相符），帮助用户进行注册邮箱变更操作，新的注册邮箱即时生效。#r搜狐将在收到此表格后48小时内核对申请者提供的资料，并有可能通过电话确认有关资料的准确性。#r#r#Y温馨提示：#r1.您可以在发送传真48小时后登录新注册邮箱中查看，是否收到邮箱变更成功的提示邮件。#r2.您也可以在发送传真48小时后致电客服中心查询新注册邮箱生效与否。#r3.强烈建议使用SOHU邮箱作为注册邮箱。#r#r关于处理资料的时间说明：当日处理资料截止时间为16：00。工作人员在16：00以后收到的资料将归结到下个工作日处理。
75	2	6	#Y如何修改密保资料（人工）
76	3	75	#Y如何修改密保资料（人工）#r#r#W下载《密保资料修改申请表》#r第一步：详细填写表格内容。#r第二步：将表格连同清晰的有效证件复印件（身份证，护照，军官证）发送至客服中心。#r第三步：工作人员收到表格后核实相关信息。#r第四步：核实资料无误（密码保护资料信息必须与申请人邮箱证件复印件相符），为用户进行清空已有密保信息操作，并给用户邮箱回复告知，同时设定超级密码为不可使用状态，当玩家收到回复告知之后，即可到官网账号管理中心自行填写新的密码保护资料，填写完成生效之后，账号最高安全信息将以新填写的密码保护资料为主。搜狐将在收到此表格后48小时内核对申请者提供的资料，并有可能通过电话确认有关资料的准确性。#r#r玩家必须符合以下条件方可申请人工解除绑定服务：#r1、玩家申请密码保护资料修改，所提供密码保护资料完全正确，但提供的申请人证件复印件与密保信息中信息不一致。也可以申请密码保护资料修改。#r2、玩家申请密码保护资料修改，密码保护提示问题答案忘记，但所提供证件复印件与密码保护资料信息一致，并其他密码保护资料都完全正确。也可以申请密码保护资料修改。#r（以上两种情况比较特殊，处理流程也比较特殊。符合以上两种条件的话，在发送所有资料及表格都合格的前提下，申请人再申请该账号临时停权15天，在15天之内该账号没有其他玩家申请相关服务，会在15天之后办理。如果15天之内有其他玩家也申请同一账号相关修改服务，则该账号会形成账号纠纷，需要按照纠纷问题处理。）#r#r#Y温馨提示：#r1.修改密保资料，每个账号每年（自然年）只限修改三次，超过三次则不予受理。#r2.密码保护资料一旦设定，将不可自行修改、查看，建议您如实填写并请您一定妥善保管，若由不实填写或个人信息泄露带来的账号纠纷，责任由会员自行承担。#r3.强烈建议使用SOHU邮箱作为注册邮箱。#r#r关于处理资料的时间说明：当日处理资料截止时间为16：00。工作人员在16：00以后收到的资料将归结到下个工作日处理。
77	2	6	#Y如何解除绑定（人工）
78	3	77	#Y如何解除绑定（密保卡、IP、手机绑定）（人工）#r#r#W请下载《解除绑定申请表》#r第一步：详细填写表格内容。#r第二步：将表格连同清晰的有效证件复印件（身份证，护照，军官证）发送至客服中心。#r第三步：工作人员收到表格后核实相关信息。#r第四步：核实资料无误（密保资料证件信息必须与申请人的有效证件相符），帮助用户进行解除绑定操作。#r#r#Y搜狐将在收到此表格后48小时内核对申请者提供的资料，并有可能通过电话确认有关资料的准确性。#r#r玩家必须符合以下条件方可申请人工解除绑定服务：#r1.密码保护资料信息必须与申请人的有效证件相符。#r2.忘记密保答案，无法自行解除绑定。#r#r温馨提示：您可以在发送表格48小时后登录游戏查看账号状态是否已经解除绑定（密保卡、IP、手机绑定）关于处理资料的时间说明：当日处理资料截止时间为16：00。工作人员在16：00以后收到的资料将归结到下个工作日处理。
79	2	6	#Y怎么通过邮件修改超级密码
80	3	79	#Y注册邮箱不能成功接收系统邮件，无法修改超级密码怎么办?（邮件受理）#r#r#W下载《超级密码修改申请表》#r第一步：详细填写表格内容。#r第二步：使用账号注册邮箱，将表格发送至客服邮箱（邮箱地址见表格）。#r第三步：工作人员收到表格后核实相关信息。#r第四步：核实资料无误，帮助用户进行修改超级密码操作。#r#r#Y搜狐将在收到此表格后48小时内核对申请者提供的资料，并有可能通过电话确认有关资料的准确性。#r#r玩家必须符合以下条件方可申请：#r#Y1.注册邮箱为可使用的安全邮箱；#r2.通过主页自助找回超级密码功能，无法接收系统返回的邮件；#r3.密码保护资料尚未填写；#r4.必须使用正确的注册邮箱，将填写完整的表格发送至搜狐游戏客服中心的邮箱中（邮箱地址见表格），方可申请修改；#r#r温馨提示：#r1.您可以在发送表格48小时后登录可联络的安全邮箱查看是否收到系统发送的超级密码。#r2.确认收到后，尽快进行密保资料的填写，以确保账号安全。
81	2	1	#Y账号安全相关知识
82	2	1	#Y账号绑定密保卡
83	2	1	#Y账号绑定电脑
84	2	1	#Y账号绑定手机
85	3	81	#Y账号安全相关知识#r#r#Y账号和登陆密码:#W账号和登陆密码是用户登录游戏时用来验证身份的凭证。一旦您的账号和登陆密码被别人知道了，别人就可以用你的账号进入游戏。所以请不要把账号和密码告诉别人。#r#Y超级密码:#W超级密码是您找回密码的唯一途径，也是您申请密保时的唯一身份验证。如果您忘记了登录密码或账号被盗了，您可以通过超级密码进行找回登陆密码。如果您的号被盗了，建议您找回密码后，马上修改密码。#r#Y二级密码:#W二级密码可以对游戏中虚拟物品进行保护。您可以在游戏中对所有身上的装备、物品、珍兽，仓库当中的金钱、所有物品进行加锁。加锁之后，这些物品都将不能被销毁交易，只有输入正确二级密码才能解锁。这样即使您的号被盗了，二级密码也能保护您游戏中物品的安全。#r#r上述讲的都是最基本的账号安全知识，除此之外，《天龙八部》还提供了更为安全的账号保护措施。这些措施有#Y账号绑定密保卡、账号绑定电脑、账号绑定手机#W。只要您选择了任意一种保护措施，都能使您的账号得到强有力的保护。
86	3	82	#Y账号绑定密保卡#r#r#W密码保护卡是为所有《天龙八部》玩家提供的一种账号安全保护服务。#r账号绑定密保卡之后，如果玩家输入账号和密码正确，但是密保卡输入错误，无法成功进入游戏，且账号需要过一分钟后才能进行下次登录，彻底打击了不法盗号者。#r密码保护卡随200、600、2000点搜狐一卡通免费赠送给玩家。除具有搜狐一卡通的点卡充值功能外，在背面还有一个被涂层覆盖的7*7数字矩阵。矩阵中的每个空格中都有一个两位数。如此以来，密码保护卡将成为您的随身数字密码库，大大提高您账号的安全。#r您可在游戏点卡零售商，书报亭，软件店等地购买到具有密码保护功能的实物点卡（200、600点和2000点）。带有密码保护功能的密码保护卡与普通搜狐一卡通实体卡建议零售价完全相同。您使用的密码保护功能完全免费。#r您也可以进入天龙八部的官方网站，下载免费的密保卡，同时绑定密保卡。详细地址为：http://sde.game.sohu.com
87	3	83	#Y账号绑定电脑#r#r#W每台电脑都会因为硬件差异有一套完全独立的“密码”。即使配置完全相同的电脑，“密码”也不会相同，电脑绑定正是将电脑的密码与您的游戏账号进行绑定，以达到保护账号安全的目的。绑定后，您的游戏账号将只能从您指定的电脑登录游戏。这样，即使您的游戏账号出现意外，盗号者如果不是在指定的电脑是无法登录的。#r您可以进入天龙八部的官方网站，进行账号绑定电脑。详细地址为：http://sde.game.sohu.com
88	3	84	#Y账号绑定手机#r#r#W您可以把您的账号和您的手机绑定在一起。绑定之后，当您的账号被盗或者无辜被踢下线的时候，你可以发送短信将您的账号锁定。锁定之后，任何人都无法登陆您的账号，直到您对您的账号进行解锁。这样就能对您的账号一定程度上起到保护作用。#r您可以进入天龙八部的官方网站，进行账号绑定手机。详细地址为：http://sde.game.sohu.com
89	2	1	#Y账号绑定IP
